archive_relative_path,size_bytes,sha256,repository_copy,role
paper_optical_flow/01_real_optical_flow_torus.ipynb,12610,833078e7f718a1c54e3253e887a815c0f31ffaa18a394484224a6752f072ee38,notebooks/01_real_optical_flow_torus.ipynb,clean migration source
paper_optical_flow/02_real_optical_flow_fiberwise_clustering.ipynb,32738,721a91b1fd43769cb2efe214c3563c25383a9d24344593e4d25a4e6090d0c649,notebooks/02_real_optical_flow_fiberwise_clustering.ipynb,clean migration source
paper_optical_flow/03_real_optical_flow_boundary_double_cover.ipynb,12052,294930e928189460330837a368765abb1bfb6480d4766bc63d99149454b482df,notebooks/03_real_optical_flow_boundary_double_cover.ipynb,clean migration source
Exploring The Sintel Dataset.ipynb,288119,4632b2b4f51e7a52e5032b50e0a4fb93f576b4c1e13dfdafd81d6f985ee13b8d,legacy_sources/exploring_the_sintel_dataset.ipynb,supporting data and figure source
Step Edge Torus Pictures.ipynb,446430,49da8cb3042f715f7b9178a1934babc67c2f8b5de2d1daff3196516ae689fb66,legacy_sources/step_edge_torus_pictures.ipynb,supporting schematic figure source
Real Optical Flow Demo.ipynb,2006722,4a4c90d77f9566b713130eaa8e8b98cc9abd00c61096a3b019f9ee78b0576173,,executed full-scale torus reference
"Fiberwise Clustering K(50,60).ipynb",43153818,3810dc346fb4559f724ec318d269a1168fa30b31e98bac8bf746ce2c5d6ba8db,,executed fiberwise and boundary reference
"K(50,60) Boundary Torus.ipynb",7027494,d85a5c9769c8ce28dbee8766f3f9b2691929865ed8b431a6e1dba670ed273e50,,executed boundary reference with later missing-input error
HC20_Flow_Patches.pkl,71507665,40a8a1f9674e157ae3bbbc30385572a3ffb879a60264de82c463d97308772535,,local preprocessed data not committed
optical_flow_sample_4000_pf.pickle,857985396,08189371948199553336ecabacf7f77bc343211ec814d520f6b82062d8220aa1,,local raw sample not committed

